0.28,80.0
0.28,55.0
0.28,54.0
0.28,35.0
0.28,79.0
0.28,17.0
0.28,73.0
0.28,79.0
0.32,53.0
0.36,70.0
0.4,10.0
0.44,39.0
0.48,17.0
0.52,10.0
0.56,36.0
0.6,84.0
0.64,11.0
0.68,16.0
0.72,24.0
0.76,65.0
0.8,84.0
0.84,98.0
0.88,48.0
0.92,55.0
0.96,70.0
1.0,46.0
1.04,48.0
1.08,14.0
1.12,54.0
1.16,100.0
1.2,11.0
1.24,73.0
1.28,100.0
1.32,99.0
1.36,86.0
1.4,85.0
1.44,30.0
1.48,73.0
1.52,21.0
1.56,11.0
1.6,40.0
1.64,78.0
1.68,13.0
1.72,45.0
1.76,49.0
1.8,72.0
1.84,27.0
1.88,60.0
1.92,74.0
1.96,33.0
2.0,31.0
2.04,17.0
2.08,57.0
2.12,77.0
2.16,12.0
2.2,65.0
2.24,41.0
2.28,28.0
2.32,69.0
2.36,73.0
2.4,52.0
2.44,11.0
2.48,72.0
2.52,51.0
2.56,29.0
2.6,27.0
2.64,27.0
2.68,13.0
2.72,13.0
2.76,99.0
2.8,56.0
2.84,92.0
2.88,16.0
2.92,85.0
2.96,27.0
3.0,28.0
3.04,27.0
3.08,91.0
3.12,85.0
3.16,85.0
3.2,77.0
3.24,58.0
3.28,95.0
3.32,52.0
3.36,64.0
3.4,17.0
3.44,61.0
3.48,66.0
3.52,59.0
3.56,81.0
3.6,17.0
3.64,10.0
3.68,92.0
3.72,97.0
3.76,87.0
3.8,66.0
3.84,27.0
3.88,53.0
3.92,91.0
3.96,55.0
4.0,18.0
4.04,87.0
4.08,18.0
4.12,19.0
4.16,33.0
4.2,95.0
4.24,30.0
4.28,78.0
4.32,49.0
4.36,17.0
4.4,98.0
4.44,16.0
4.48,83.0
4.52,31.0
4.56,74.0
4.6,45.0
4.64,46.0
4.68,55.0
4.72,65.0
4.76,34.0
4.8,64.0
4.84,21.0
4.88,87.0
4.92,88.0
4.96,92.0
5.0,13.0
5.04,16.0
5.08,10.0
5.12,26.0
5.16,32.0
5.2,18.0
5.24,57.0
5.28,11.0
5.32,47.0
5.36,25.0
5.4,15.0
5.44,11.0
5.48,46.0
5.52,45.0
5.56,51.0
5.6,42.0
5.64,80.0
5.68,45.0
5.72,14.0
5.76,36.0
5.8,67.0
5.84,34.0
5.88,25.0
5.92,36.0
5.96,70.0
6.0,43.0
6.04,83.0
6.08,25.0
6.12,65.0
6.16,45.0
6.2,82.0
6.24,24.0
6.28,100.0
6.32,44.0
6.36,45.0
6.4,63.0
6.44,91.0
6.48,98.0
6.52,41.0
6.56,97.0
6.6,79.0
6.64,68.0
6.68,92.0
6.72,34.0
6.76,29.0
6.8,75.0
6.84,43.0
6.88,74.0
6.92,98.0
6.96,17.0
7.0,31.0
7.04,49.0
7.08,54.0
7.12,41.0
7.16,15.0
7.2,89.0
7.24,52.0
7.28,73.0
7.32,80.0
7.36,48.0
7.4,13.0
7.44,100.0
7.48,24.0
7.52,63.0
7.56,19.0
7.6,11.0
7.64,71.0
7.68,42.0
7.72,93.0
7.76,24.0
7.8,70.0
7.84,30.0
7.88,44.0
7.92,76.0
7.96,73.0
8.0,89.0
8.04,89.0
8.08,12.0
8.12,12.0
8.16,62.0
8.2,96.0
8.24,15.0
8.28,48.0
8.32,71.0
8.36,98.0
8.4,86.0
8.44,75.0
8.48,31.0
8.52,49.0
8.56,27.0
8.6,53.0
8.64,76.0
8.68,22.0
8.72,47.0
8.76,93.0
8.8,85.0
8.84,38.0
8.88,53.0
8.92,97.0
8.96,14.0
9.0,68.0
9.04,49.0
9.08,94.0
9.12,87.0
9.16,53.0
9.2,66.0
9.24,10.0
9.28,26.0
9.32,57.0
9.36,25.0
9.4,91.0
9.44,97.0
9.48,29.0
9.52,39.0
9.56,93.0
9.6,97.0
9.64,74.0
9.68,70.0
9.72,23.0
9.76,37.0
9.8,94.0
9.84,51.0
9.88,15.0
9.92,99.0
9.96,59.0
10.0,94.0
10.04,99.0
10.08,37.0
10.12,15.0
10.16,60.0
10.2,36.0
10.24,53.0
10.28,97.0
10.32,82.0
10.36,77.0
10.4,62.0
10.44,17.0
10.48,58.0
10.52,57.0
10.56,86.0
10.6,69.0
10.64,31.0
10.68,98.0
10.72,38.0
10.76,11.0
10.8,56.0
10.84,61.0
10.88,19.0
10.92,61.0
10.96,87.0
11.0,63.0
11.04,82.0
11.08,45.0
11.12,70.0
11.16,31.0
11.2,28.0
11.24,57.0
11.28,26.0
11.32,41.0
11.36,49.0
11.4,54.0
11.44,43.0
11.48,25.0
11.52,23.0
11.56,71.0
11.6,48.0
11.64,31.0
11.68,64.0
11.72,18.0
11.76,10.0
11.8,80.0
11.84,66.0
11.88,45.0
11.92,62.0
11.96,55.0
12.0,22.0
12.04,12.0
12.08,19.0
12.12,51.0
12.16,78.0
12.2,27.0
12.24,13.0
12.28,100.0
12.32,86.0
12.36,63.0
12.4,58.0
12.44,83.0
12.48,48.0
12.52,57.0
12.56,38.0
12.6,53.0
12.64,33.0
12.68,28.0
12.72,64.0
12.76,57.0
12.8,40.0
12.84,24.0
12.88,47.0
12.92,67.0
12.96,10.0
13.0,19.0
13.04,74.0
13.08,24.0
13.12,64.0
13.16,14.0
13.2,66.0
13.24,89.0
13.28,62.0
13.32,48.0
